FECHA,COD_ALMACEN,COD_SKU,DESC_SKU,DEMANDA
07-11-19,W113,PT-032,SKU_32,1
07-11-19,W113,PT-031,SKU_31,2
07-11-19,W113,PT-076,SKU_76,4
07-11-19,W113,PT-014,SKU_14,13
07-11-19,W113,PT-089,SKU_89,6
07-11-19,W113,PT-054,SKU_54,2
08-11-19,W113,PT-001,SKU_1,24
08-11-19,W113,PT-013,SKU_13,27
08-11-19,W113,PT-042,SKU_42,8
08-11-19,W113,PT-121,SKU_121,10
09-11-19,W113,PT-025,SKU_25,51
09-11-19,W113,PT-037,SKU_37,5
08-11-19,W113,PT-030,SKU_30,3
08-11-19,W113,PT-123,SKU_123,1
08-11-19,W113,PT-103,SKU_103,3
08-11-19,W113,PT-119,SKU_119,7
11-11-19,W113,PT-017,SKU_17,22
11-11-19,W113,PT-015,SKU_15,3
11-11-19,W113,PT-039,SKU_39,7
11-11-19,W113,PT-042,SKU_42,17
11-11-19,W113,PT-004,SKU_4,2
12-11-19,W113,PT-020,SKU_20,3
12-11-19,W113,PT-042,SKU_42,7
12-11-19,W113,PT-101,SKU_101,9
12-11-19,W113,PT-057,SKU_57,1
12-11-19,W113,PT-118,SKU_118,3
13-11-19,W113,PT-012,SKU_12,4
13-11-19,W113,PT-105,SKU_105,4
13-11-19,W113,PT-025,SKU_25,21
13-11-19,W113,PT-013,SKU_13,9
13-11-19,W113,PT-055,SKU_55,5
14-11-19,W113,PT-010,SKU_10,12
11-11-19,W113,PT-061,SKU_61,3
12-11-19,W113,PT-017,SKU_17,2
12-11-19,W113,PT-054,SKU_54,1
12-11-19,W113,PT-039,SKU_39,1
13-11-19,W113,PT-102,SKU_102,3
13-11-19,W113,PT-047,SKU_47,2
14-11-19,W113,PT-033,SKU_33,6
14-11-19,W113,PT-122,SKU_122,25
14-11-19,W113,PT-119,SKU_119,1
14-11-19,W113,PT-108,SKU_108,3
09-11-19,W113,PT-022,SKU_22,52
09-11-19,W113,PT-120,SKU_120,2
09-11-19,W113,PT-122,SKU_122,47
09-11-19,W113,PT-036,SKU_36,9
09-11-19,W113,PT-023,SKU_23,12
09-11-19,W113,PT-034,SKU_34,2
09-11-19,W113,PT-008,SKU_8,1
09-11-19,W113,PT-038,SKU_38,2
09-11-19,W113,PT-045,SKU_45,6
16-11-19,W113,PT-017,SKU_17,13
16-11-19,W113,PT-032,SKU_32,2
16-11-19,W113,PT-103,SKU_103,7
16-11-19,W113,PT-026,SKU_26,17
16-11-19,W113,PT-106,SKU_106,7
16-11-19,W113,PT-007,SKU_7,1
16-11-19,W113,PT-125,SKU_125,2
09-11-19,W113,PT-118,SKU_118,11
11-11-19,W113,PT-110,SKU_110,1
13-11-19,W113,PT-079,SKU_79,1
16-11-19,W113,PT-118,SKU_118,5
16-11-19,W113,PT-122,SKU_122,47
16-11-19,W113,PT-105,SKU_105,7
17-11-19,W113,PT-016,SKU_16,36
17-11-19,W113,PT-030,SKU_30,2
17-11-19,W113,PT-079,SKU_79,4
17-11-19,W113,PT-135,SKU_135,1
17-11-19,W113,PT-122,SKU_122,50
19-11-19,W113,PT-026,SKU_26,8
19-11-19,W113,PT-019,SKU_19,2
19-11-19,W113,PT-122,SKU_122,33
19-11-19,W113,PT-037,SKU_37,4
19-11-19,W113,PT-025,SKU_25,16
20-11-19,W113,PT-016,SKU_16,13
20-11-19,W113,PT-121,SKU_121,1
20-11-19,W113,PT-025,SKU_25,19
17-11-19,W113,PT-061,SKU_61,1
19-11-19,W113,PT-049,SKU_49,1
20-11-19,W113,PT-010,SKU_10,4
17-11-19,W113,PT-054,SKU_54,3
17-11-19,W113,PT-033,SKU_33,6
21-11-19,W113,PT-031,SKU_31,4
21-11-19,W113,PT-104,SKU_104,8
21-11-19,W113,PT-001,SKU_1,24
21-11-19,W113,PT-022,SKU_22,26
21-11-19,W113,PT-101,SKU_101,19
21-11-19,W113,PT-054,SKU_54,3
21-11-19,W113,PT-012,SKU_12,3
21-11-19,W113,PT-046,SKU_46,1
22-11-19,W113,PT-011,SKU_11,2
22-11-19,W113,PT-029,SKU_29,8
22-11-19,W113,PT-076,SKU_76,1
24-11-19,W113,PT-026,SKU_26,14
24-11-19,W113,PT-031,SKU_31,4
21-11-19,W113,PT-032,SKU_32,3
22-11-19,W113,PT-032,SKU_32,3
22-11-19,W113,PT-038,SKU_38,1
24-11-19,W113,PT-121,SKU_121,8
25-11-19,W113,PT-010,SKU_10,7
25-11-19,W113,PT-018,SKU_18,1
25-11-19,W113,PT-101,SKU_101,18
25-11-19,W113,PT-048,SKU_48,5
26-11-19,W113,PT-037,SKU_37,2
26-11-19,W113,PT-036,SKU_36,7
26-11-19,W113,PT-010,SKU_10,8
26-11-19,W113,PT-128,SKU_128,1
26-11-19,W113,PT-031,SKU_31,4
26-11-19,W113,PT-096,SKU_96,1
28-11-19,W113,PT-016,SKU_16,11
28-11-19,W113,PT-096,SKU_96,2
28-11-19,W113,PT-035,SKU_35,2
29-11-19,W113,PT-043,SKU_43,3
29-11-19,W113,PT-103,SKU_103,1
29-11-19,W113,PT-016,SKU_16,14
29-11-19,W113,PT-060,SKU_60,1
29-11-19,W113,PT-048,SKU_48,2
29-11-19,W113,PT-110,SKU_110,1
29-11-19,W113,PT-029,SKU_29,3
15-11-19,W113,PT-016,SKU_16,11
15-11-19,W113,PT-001,SKU_1,29
15-11-19,W113,PT-047,SKU_47,5
15-11-19,W113,PT-019,SKU_19,5
15-11-19,W113,PT-118,SKU_118,4
15-11-19,W113,PT-115,SKU_115,1
25-11-19,W113,PT-031,SKU_31,5
25-11-19,W113,PT-054,SKU_54,2
25-11-19,W113,PT-104,SKU_104,13
25-11-19,W113,PT-008,SKU_8,1
26-11-19,W113,PT-045,SKU_45,1
28-11-19,W113,PT-047,SKU_47,1
29-11-19,W113,PT-045,SKU_45,3
15-11-19,W113,PT-004,SKU_4,2
15-11-19,W113,PT-023,SKU_23,11
15-11-19,W113,PT-029,SKU_29,9
15-11-19,W113,PT-112,SKU_112,1
24-11-19,W113,PT-052,SKU_52,2
28-11-19,W113,PT-039,SKU_39,6
28-11-19,W113,PT-042,SKU_42,1
